"variable","mean","sd"
"intercrop",0.573333333333333,0.495005663166089
"rotat1",0.0616666666666667,0.240749848816285
"manure",0.203333333333333,0.402814251350057
"cropres",0.09,0.286420543746079
"weedings",1.82666666666667,0.554196817393939
"impseed",0.148333333333333,0.355726661898615
"fallow3yr",0.04,0.196122683146905
"struct",0.245,0.430446055091583
"terraced",0.035,0.183933100997993
"logha",-0.506760330701667,0.955625258944192
"headage",47.7015437392796,13.7149656028322
"hhsize",5.69166666666667,3.11439072771819
"headeduc",7.06689536878216,3.54611666098537
"year",2016.33,0.470605052238059
